EDIFICIOS MUNICIPALES,LATITUD,LONGITUD,Dirección
Palacio Municipal,"-34,511179","-58,49028","Maipu 2609, Vicente López"
Honorable Concejo Deliberante,"-34,512234","-58,490058","Maipu 2510, Vicente López"
Licencias de Conducir,"-34,511264","-58,494891","Roque Sáenz Peña 1765, Olivos"
Secretaría de Tránsito,"-34,506663","-58,496031","Acassuso 1752, Olivos"
Casa de la Cultura,"-34,509423","-58,485915","Ricardo Gutiérrez 1060, Olivos"
Quinta Trabucco,"-34,538298","-58,498756","Melo 3050, Florida"
Cine Teatro York,"-34,507698","-58,484929","Juan Bautista Alberdi 895, Olivos"
Museo Usina Audiovisual Lumiton,"-34,527781","-58,516176","Sargento Cabral 2354, Munro"
Centro Cultural Munro,"-34,530443","-58,52391","Avenida Vélez Sarsfield 4652, Munro"
Centro Cultural Carapachay,"-34,528613","-58,532107","Ituzaingó 5442, Carapachay"
Centro Cultural Villa Adelina,"-34,527703","-58,549733","Avenida Ader 4057, Villa Adelina"
Torre Ader,"-34,534044","-58,545131","Triunvirato y Castelli, Villa Adelina"
Escuela Municipal de Ajedrez,"-34,548182","-58,50498","Laprida 3837, Villa Martelli"
Biblioteca José Froilan Gonzalez,"-34,542709","-58,500996","Lavalle 3281, Florida"
Hospital Profesor Bernardo Alberto Houssay,"-34,522711","-58,489111","Presidente Hipólito Yrigoyen 1757, Vicente López"
Maternidad Santa Rosa,"-34,543823","-58,512573","Martín J. Haedo 4150, Florida Oeste"
Instituto de Rehabilitacion Anselmo Marini,"-34,50754","-58,492252","Avenida Maipú 3075, Olivos"
Instituto Geriatrico Rodriguez Ortega,"-34,513892","-58,504261","Mariano Pelliza 2786, Olivos"
Zoonosis,"-34,511314","-58,514251","Capitan Justo G. de Bermúdez 3484, Olivos"
UAP 12 de Octubre,"-34,507414","-58,504796","General José María Paz 3645, Olivos"
UAP 25 de Mayo,"-34,518469","-58,534315","Rafael Obligado 5280, Munro"
UAP Scalise,"-34,52594","-58,5477","Capitan Cajaraville 4042, Villa Adelina"
UAP Marzano,"-34,527368","-58,51153","Carlos Villate 3675, Munro"
UAP Arcuri,"-34,50324","-58,492753","Tucuman 3339, La Lucila"
UAP Illia,"-34,51307","-58,512997","Coronel Francisco Uzal 3498, Olivos"
UAP Axenfeld,"-34,53986","-58,489987","Adolfo Alsina 2465, Florida"
UAP Barreiro Aguirre,"-34,531555","-58,525077","Santiago Baigorria 2461, Munro"
UAP Blanca Acosta,"-34,546487","-58,521536","Mariquita Sanchez de Thompson 1141, Florida Oeste"
URI Burman,-34.527867,"-58,53636","Ituzaingó 5725, Carapachay"
UAP El Ceibo,"-34,49527","-58,480009","Bermudez y el Rio, La Lucila"
UAP Llobera,"-34,546898","-58,502607","Estados Unidos 314, Vicente López"
UAP Rotjer,"-34,505141","-58,497215","Domingo Faustino Sarmiento 3551, Olivos"
