properties.nombre,properties.calle,properties.email,properties.sector,properties.dependencia_funcional,properties.tipo_establecimiento,properties.modalidad,properties.nivel,geometry.coordinates
ESCUELA DE EDUCACIÓN ESÉTICA Nº1,CORRIENTES,ESCUELADEESTETICA1@HOTMAIL.COM,Estatal,Dirección de Educación Artística,ESCUELA DE EDUCACIÓN ESTÉTICA INFANTIL,Modalidad Artística,Cursos y Talleres,"-58.48888282628127,-34.51278628226095"
ESC. SECUNDARIA BASICA Nº18,AV. MAIPU E/ SAN MARTIN Y ARENALES,MCUPAIOLO@YAHOO.COM.AR,Estatal,Dirección Provincial de Educación Secundaria,ESCUELA SECUNDARIA BÁSICA,Educación Común,Nivel Secundario,",-34.52361753352221"
CENTRO DE ADULTOS Nº707/02,AVDA. MAIPU,ESC_702@YAHOO.COM.AR,Estatal,Dirección de Educación de Adultos,CENTRO DE ADULTOS (EGBA),Modalidad de Jóvenes y Adultos,Nivel Primario,"-58.48355254271553,-34.52350096070063"
CENTRO DE FORMACIÓN PROFESIONAL Nº403,ALMAFUERTE,,Estatal,Dirección Provincial de Educación Técnico Profesional,CENTRO DE FORMACIÓN PROFESIONAL,Modalidad de Jóvenes y Adultos,Formación Profesional,"-58.53574608106778,-34.5301641149622"
ANEXO DEL C.F.P. Nº405 (DEL DISTRITO DE GENERAL SAN MARTIN),H. IRIGOYEN E/SARMIENTO Y H'OGGINS,,Estatal,Dirección Provincial de Educación Técnico Profesional,CENTRO DE FORMACIÓN PROFESIONAL,Modalidad de Jóvenes y Adultos,Formación Profesional,"-58.49839945756878,-34.52756696564279"
"JARDIN DE INFANTES Nº901 ""COMANDANTE TOMAS ESPORA""",25 DE MAYO E/ ARENALES Y SAN MARTIN,JARDIN901VL@GMAIL.COM,Estatal,Dirección Provincial de Educación Inicial,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,"-58.48318503566071,-34.52306495588283"
"JARDIN DE INFANTES Nº907 ""SARA MARINO""",COSME ARGERICH Y ACASSUSO,JARDIN907VL@GMAIL.COM,Estatal,Dirección Provincial de Educación Inicial,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,",-34.53146173337211"
"ESCUELA DE EDUCACIÓN SECUNDARIA Nº6 ""JUAN PABLO DUARTE Y DIEZ""",AGUSTIN ALVAREZ E/MAIPU Y 25 DE MAYO,SECUNDARIA6VL@YAHOO.COM.AR,Estatal,Dirección Provincial de Educación Secundaria,ESCUELA SECUNDARIA,Educación Común,Nivel Secundario,"-58.47768923636903,-34.53300634776457"
"ESCUELA DE EDUCACIÓN PRIMARIA Nº6 ""GENERAL MANUEL BELGRANO""",AVENIDA MAIPU E/ LAVALLE Y ALVAREZ,ESCUELASEIS109@HOTMAIL.COM,Estatal,Dirección Provincial de Educación Primaria,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,",-34.53333426126699"
"ESCUELA DE EDUCACIÓN PRIMARIA Nº8 ""DR. BERNARDO DE MONTEAGUDO""",AV. MAIPU E/ SAN MARTIN Y ARENALES,EPOCHIMONTEAGUDO@HOTMAIL.COM,Estatal,Dirección Provincial de Educación Primaria,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,"-58.48366338865429,"
"LICEO NAVAL MILITAR ""ALMIRANTE GUILLERMO BROWN""",Laprida,REGENTE@LICEOBROWN.EDU.AR,Estatal,Ministerio de Educación de la Nación,ESCUELA DE EDUCACIÓN MEDIA,Educación Común,Nivel Secundario,"-58.47396435417147,"
INSTITUTO MUNICIPAL JOSE HERNANDEZ,J.B. ALBERDI,INSTITUTOJOSEHERNANDEZ@GMAIL.COM,Estatal,Dirección Provincial de Educación de Gestión Privada,CONSERVATORIO DE MÚSICA,Educación Común,Nivel Superior No Universitario (*),"-58.48859225622749,"
INSTITUTO MUNICIPAL JOSE HERNANDEZ,J.B. ALBERDI,INSTITUTOJOSEHERNANDEZ@GMAIL.COM,Estatal,Dirección Provincial de Educación de Gestión Privada,CONSERVATORIO DE MÚSICA,Modalidad Artística,Ciclo Medio,"-58.48859225622749,"
JARDIN MATERNAL Nº5 EVA DUARTE DE PERON,TUYUTI,JARDINMAT5@GMAIL.COM,Estatal,Dirección Provincial de Educación de Gestión Privada,JARDÍN MATERNAL,Educación Común,Nivel Inicial,"-58.52072424474779,"
CENTRO DE FORMACION PROFESIONAL MAUSI SEBESS,AVENIDA MAIPU,marta@mausiweb.com,Privado,Dirección Provincial de Educación de Gestión Privada,CENTRO DE FORMACIÓN PROFESIONAL,Modalidad de Jóvenes y Adultos,Formación Profesional,"-58.47922670025184,-34.53277788129401"
CENTRO DE FORMACION PROFESIONAL EDUC. ARGENTINO,LAPRIDA,institutoiea@hotmail.com,Privado,Dirección Provincial de Educación de Gestión Privada,CENTRO DE FORMACIÓN PROFESIONAL,Modalidad de Jóvenes y Adultos,Formación Profesional,"-58.47357374353328,-34.53343779301957"
CENTRO INTEGRAL BILINGÜE DE EDUCACIÓN DE SORDOS,GÜEMES,GALISEDO@GMAIL.COM,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN ESPECIAL,Modalidad Especial,Nivel Primario,"-58.4792276553319,-34.53043462575721"
INSTITUTO PEDRO POVEDA,H.YRIGOYEN E/ TAPIALES Y AZCUENAGA,NIVELSUPERIOR@POVEDA.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA,Educación Común,Nivel Superior No Universitario (*),"-58.47753679318828,-34.51702825305131"
